@@@ Acoustic log report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@            Special edition for SPE GeoEnergy Hackathon 2021            @@@
Well name: E05
depth(m)	 transit time (micron/sec)
1842.9300	  241.527030
1843.2070	  230.261838
1843.4840	  230.738602
1843.7610	  235.578155
1844.0380	  239.473500
1844.3150	  238.404623
1844.5920	  235.983812
1844.8690	  238.693106
1845.1460	  234.532300
1845.4229	  234.593174
1845.6999	  231.331717
1845.9769	  232.566389
1846.2539	  230.577947
1846.5309	  234.476338
1846.8079	  245.439580
1847.0849	  240.923515
1847.3619	  249.417583
1847.6389	  249.097386
1847.9159	  244.638282
1848.1929	  244.391737
1848.4699	  244.825535
1848.7469	  242.933406
1849.0239	  246.526596
1849.3009	  244.435709
1849.5779	  246.669729
1849.8548	  252.522121
1850.1318	  245.212486
1850.4088	  242.265810
1850.6858	  249.936027
1850.9628	  242.045952
1851.2398	  249.526293
1851.5168	  251.860135
1851.7938	  245.421144
1852.0708	  244.637389
1852.3478	  246.094016
1852.6248	  243.879033
1852.9018	  248.015952
1853.1788	  252.927820
1853.4558	  253.062795
1853.7328	  244.105941
1854.0098	  203.273988
1854.2868	  201.483754
1854.5637	  205.018353
1854.8407	  201.977519
1855.1177	  194.616084
1855.3947	  196.082664
1855.6717	  194.306325
1855.9487	  198.957091
1856.2257	  198.932777
1856.5027	  200.480315
1856.7797	  201.302847
1857.0567	  200.020693
1857.3337	  200.548091
1857.6107	  199.950753
1857.8877	  197.416768
1858.1647	  196.303260
1858.4417	  197.947565
1858.7187	  197.338941
1858.9957	  197.367133
1859.2726	  195.417424
1859.5496	  195.626664
1859.8266	  199.461445
1860.1036	  206.557812
1860.3806	  202.303799
1860.6576	  198.172095
1860.9346	  206.014576
1861.2116	  254.364876
1861.4886	  261.034774
1861.7656	  264.238585
1862.0426	  258.489873
1862.3196	  249.126932
1862.5966	  258.978282
1862.8736	  266.567734
1863.1506	  255.702978
1863.4276	  251.844383
1863.7045	  255.596224
1863.9815	  252.560922
1864.2585	  256.993979
1864.5355	  253.004199
1864.8125	  263.141197
1865.0895	  257.642675
1865.3665	  241.012415
1865.6435	  245.557140
1865.9205	  257.527984
1866.1975	  260.800335
1866.4745	  256.174905
1866.7515	  253.792354
1867.0285	  252.097294
1867.3055	  255.813578
1867.5825	  252.259699
1867.8595	  261.953039
1868.1365	  259.952869
1868.4134	  233.099059
1868.6904	  223.452521
1868.9674	  228.777660
1869.2444	  234.848157
1869.5214	  236.844106
1869.7984	  237.838756
1870.0754	  229.490167
1870.3524	  239.963440
1870.6294	  233.018756
1870.9064	  230.589956
1871.1834	  231.542309
1871.4604	  233.901086
1871.7374	  227.262520
1872.0144	  232.251561
1872.2914	  236.159308
1872.5684	  235.672762
1872.8454	  230.658978
1873.1223	  243.494465
1873.3993	  234.760966
1873.6763	  229.924427
1873.9533	  240.024484
1874.2303	  227.369770
1874.5073	  235.869552
1874.7843	  230.617103
1875.0613	  226.105159
1875.3383	  242.342872
1875.6153	  225.158107
1875.8923	  238.615152
1876.1693	  234.664067
1876.4463	  232.006765
1876.7233	  234.151532
1877.0003	  238.361377
1877.2773	  231.953710
1877.5542	  223.139467
1877.8312	  233.911478
1878.1082	  233.157305
1878.3852	  243.840569
1878.6622	  235.112063
1878.9392	  235.795083
1879.2162	  238.137227
1879.4932	  233.607492
1879.7702	  232.258452
1880.0472	  238.170899
1880.3242	  230.962583
1880.6012	  233.127332
1880.8782	  233.351924
1881.1552	  235.219925
1881.4322	  233.759741
1881.7092	  228.245997
1881.9862	  232.460626
1882.2631	  232.556069
1882.5401	  230.206539
1882.8171	  229.477827
1883.0941	  256.833239
1883.3711	  247.388235
1883.6481	  245.382173
1883.9251	  260.583210
1884.2021	  248.045216
1884.4791	  252.707225
1884.7561	  249.171488
1885.0331	  259.875576
1885.3101	  249.717127
1885.5871	  255.854387
1885.8641	  250.279100
1886.1411	  256.940426
1886.4181	  252.572379
1886.6951	  254.708476
1886.9720	  253.906064
1887.2490	  247.373430
1887.5260	  257.533419
1887.8030	  253.741753
1888.0800	  262.096831
1888.3570	  251.133637
1888.6340	  257.206627
1888.9110	  256.763080
1889.1880	  254.514788
1889.4650	  253.808671
1889.7420	  251.041886
1890.0190	  256.854930
1890.2960	  208.879904
1890.5730	  207.465199
1890.8500	  208.821522
1891.1270	  206.245739
1891.4039	  208.361698
1891.6809	  213.393384
1891.9579	  208.671958
1892.2349	  210.881394
1892.5119	  203.273271
1892.7889	  205.867797
1893.0659	  204.744091
1893.3429	  208.378685
1893.6199	  210.558790
1893.8969	  213.769430
1894.1739	  213.941834
1894.4509	  207.680287
1894.7279	  203.058389
1895.0049	  213.235489
1895.2819	  204.210099
1895.5589	  208.685958
1895.8359	  212.809887
1896.1128	  208.982084
1896.3898	  216.590388
1896.6668	  209.715796
1896.9438	  205.784701
1897.2208	  209.726970
1897.4978	  240.911818
1897.7748	  231.925323
1898.0518	  233.149000
1898.3288	  240.320480
1898.6058	  233.929381
1898.8828	  238.628554
1899.1598	  239.249596
1899.4368	  234.481148
1899.7138	  245.230715
1899.9908	  240.291768
