@@@ Acoustic log report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@            Special edition for SPE GeoEnergy Hackathon 2021            @@@
Well name: I03
depth(m)	 transit time (micron/sec)
1974.9600	  220.479739
1975.3006	  215.669687
1975.6412	  209.846644
1975.9818	  217.550213
1976.3224	  219.984475
1976.6630	  218.788988
1977.0036	  215.370775
1977.3442	  218.194126
1977.6848	  216.181311
1978.0254	  211.061899
1978.3660	  212.815934
1978.7066	  210.873187
1979.0472	  213.407524
1979.3878	  211.172948
1979.7284	  236.964022
1980.0690	  230.749692
1980.4096	  241.944876
1980.7502	  230.394249
1981.0908	  235.911994
1981.4314	  244.833687
1981.7720	  236.293174
1982.1126	  232.809342
1982.4532	  241.390753
1982.7938	  236.430190
1983.1344	  233.353227
1983.4750	  234.344098
1983.8156	  227.729365
1984.1562	  231.942178
1984.4968	  246.422426
1984.8374	  235.358625
1985.1780	  246.321483
1985.5186	  236.110785
1985.8592	  234.090776
1986.1998	  239.470350
1986.5404	  233.022533
1986.8810	  236.633835
1987.2216	  242.108483
1987.5622	  238.089205
1987.9028	  243.144533
1988.2434	  239.293439
1988.5840	  268.715852
1988.9246	  264.748089
1989.2653	  264.200983
1989.6059	  264.748168
1989.9465	  264.395539
1990.2871	  270.174810
1990.6277	  261.710200
1990.9683	  265.292145
1991.3089	  260.956604
1991.6495	  267.383942
1991.9901	  263.188490
1992.3307	  263.750419
1992.6713	  272.181611
1993.0119	  263.014149
1993.3525	  261.834506
1993.6931	  263.040023
1994.0337	  262.691620
1994.3743	  265.746114
1994.7149	  269.156641
1995.0555	  265.576029
1995.3961	  265.388567
1995.7367	  261.544511
1996.0773	  268.832320
1996.4179	  260.476215
1996.7585	  262.730495
1997.0991	  266.310138
1997.4397	  199.982038
1997.7803	  197.645770
1998.1209	  205.762171
1998.4615	  201.730515
1998.8021	  206.390289
1999.1427	  205.862399
1999.4833	  198.123731
1999.8239	  208.327440
2000.1645	  200.685251
2000.5051	  206.955114
2000.8457	  202.124102
2001.1863	  192.052272
2001.5269	  199.304699
2001.8675	  196.738214
2002.2081	  200.553026
2002.5487	  199.138531
2002.8893	  202.603746
2003.2299	  200.179563
2003.5705	  196.037002
2003.9111	  199.535429
2004.2517	  200.951224
2004.5923	  204.452540
2004.9329	  196.966776
2005.2735	  196.415546
2005.6141	  200.199415
2005.9547	  202.718536
2006.2953	  215.811804
2006.6359	  212.389307
2006.9765	  209.158542
2007.3171	  212.763971
2007.6577	  207.005453
2007.9983	  214.146349
2008.3389	  217.539056
2008.6795	  216.211199
2009.0201	  216.058243
2009.3607	  214.063553
2009.7013	  216.946487
2010.0419	  214.074648
2010.3825	  215.149660
2010.7231	  202.708598
