@@@ Acoustic log report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@            Special edition for SPE GeoEnergy Hackathon 2021            @@@
Well name: P03
depth(m)	 transit time (micron/sec)
2060.1600	  259.315464
2060.4407	  263.258651
2060.7214	  256.188208
2061.0021	  260.916614
2061.2828	  259.450334
2061.5635	  270.311048
2061.8442	  265.655448
2062.1249	  259.839874
2062.4056	  263.386295
2062.6863	  257.536420
2062.9670	  270.665160
2063.2477	  267.020105
2063.5284	  264.309130
2063.8091	  264.858536
2064.0898	  242.173171
2064.3705	  236.090082
2064.6512	  243.468752
2064.9319	  243.126460
2065.2126	  243.179189
2065.4933	  241.054157
2065.7740	  234.798855
2066.0547	  242.070292
2066.3354	  242.878376
2066.6161	  238.058344
2066.8968	  239.129473
2067.1775	  243.632204
2067.4582	  241.237002
2067.7389	  245.673945
2068.0196	  235.112757
2068.3003	  235.875612
2068.5810	  236.725727
2068.8617	  234.108087
2069.1424	  237.457653
2069.4231	  242.281290
2069.7038	  241.944143
2069.9845	  231.238712
2070.2653	  239.756251
2070.5460	  243.049401
2070.8267	  239.685466
2071.1074	  238.492397
2071.3881	  253.061581
2071.6688	  258.212973
2071.9495	  256.454954
2072.2302	  253.541044
2072.5109	  249.282123
2072.7916	  252.474000
2073.0723	  261.943899
2073.3530	  246.966734
2073.6337	  254.637301
2073.9144	  243.401312
2074.1951	  252.367727
2074.4758	  254.918453
2074.7565	  249.203791
2075.0372	  261.401303
2075.3179	  255.879779
2075.5986	  252.781056
2075.8793	  252.537910
2076.1600	  256.610382
2076.4407	  247.463841
2076.7214	  247.345256
2077.0021	  254.443672
2077.2828	  248.157274
2077.5635	  250.136505
2077.8442	  244.306843
2078.1249	  250.422247
2078.4056	  249.681017
2078.6863	  259.513698
2078.9670	  256.130833
2079.2477	  269.095964
2079.5284	  265.659541
2079.8091	  268.997032
2080.0898	  267.404564
2080.3705	  263.834746
2080.6512	  264.558917
2080.9319	  263.959617
2081.2126	  262.993247
2081.4933	  269.609624
2081.7740	  264.225706
2082.0547	  258.588333
2082.3354	  262.014030
2082.6161	  270.692866
2082.8968	  267.123217
2083.1775	  264.926816
2083.4582	  269.096051
2083.7389	  264.429496
2084.0196	  259.348869
2084.3003	  268.483283
2084.5810	  269.008004
2084.8617	  260.734612
2085.1424	  263.092002
2085.4231	  260.037300
2085.7038	  265.997994
2085.9845	  251.210352
2086.2652	  248.066533
2086.5459	  245.949758
2086.8266	  252.973635
2087.1073	  241.456126
2087.3880	  247.805978
2087.6687	  253.477880
2087.9494	  244.767302
2088.2301	  242.136055
2088.5108	  246.075399
2088.7915	  242.463177
2089.0722	  251.375969
2089.3529	  251.462646
2089.6336	  238.072048
2089.9143	  250.008067
2090.1951	  240.829011
2090.4758	  238.428247
2090.7565	  245.080615
2091.0372	  236.540597
2091.3179	  243.041591
2091.5986	  245.921589
2091.8793	  250.865638
2092.1600	  247.365575
2092.4407	  239.485701
2092.7214	  252.404336
2093.0021	  249.141741
2093.2828	  241.619862
2093.5635	  240.622114
2093.8442	  237.339235
2094.1249	  243.064888
2094.4056	  236.088945
2094.6863	  243.533143
2094.9670	  231.051321
2095.2477	  246.155275
2095.5284	  244.134178
2095.8091	  244.706030
2096.0898	  243.134913
2096.3705	  236.066898
2096.6512	  241.322708
2096.9319	  236.339773
2097.2126	  235.319414
2097.4933	  239.356776
2097.7740	  228.652737
2098.0547	  236.013697
2098.3354	  231.259020
2098.6161	  240.323295
2098.8968	  236.708314
2099.1775	  242.165061
2099.4582	  238.617481
2099.7389	  245.316348
2100.0196	  235.417274
2100.3003	  235.985448
2100.5810	  239.929716
2100.8617	  258.594237
2101.1424	  256.041093
2101.4231	  253.338121
2101.7038	  260.548399
2101.9845	  262.077139
2102.2652	  254.858408
2102.5459	  259.842013
2102.8266	  260.129137
2103.1073	  255.513049
2103.3880	  253.803145
2103.6687	  255.430775
2103.9494	  252.239867
2104.2301	  265.173628
2104.5108	  256.140276
2104.7915	  260.382434
2105.0722	  254.072761
2105.3529	  249.544846
2105.6336	  265.375746
2105.9143	  250.114743
2106.1950	  257.987344
2106.4757	  257.872109
2106.7564	  255.330092
2107.0371	  262.492381
2107.3178	  251.528420
2107.5985	  258.436369
2107.8792	  259.227494
2108.1599	  244.483400
2108.4406	  239.648736
2108.7213	  236.229319
2109.0020	  253.017755
2109.2827	  241.935239
2109.5634	  247.951369
2109.8441	  248.793168
2110.1248	  240.660296
2110.4056	  240.911267
2110.6863	  245.693306
2110.9670	  240.053401
2111.2477	  240.679835
2111.5284	  245.872664
2111.8091	  239.546217
2112.0898	  239.800177
2112.3705	  239.435816
2112.6512	  248.304808
