        depth          permeab       porosity    logk           y
       2920.500            .830     12.70000      -.08092       .00000
       2921.500          24.200     15.70000      1.38382       .00000
       2922.500           9.520     12.90000       .97864       .00000
       2923.500           1.100     10.00000       .04139       .00000
       2924.500          75.000     19.00000      1.87506       .00000
       2925.500            .010      5.20000     -2.00000       .00000
       2926.500            .010      5.30000     -2.00000       .00000
       2927.500            .010      6.60000     -2.00000       .00000
       2928.500         401.000     25.70000      2.60314       .00000
       2929.500         285.000     26.10000      2.45484       .00000
       2930.500         584.000     27.60000      2.76641       .00000
       2931.500         367.000     28.40000      2.56467       .00000
       2932.500         426.000     26.60000      2.62941       .00000
       2933.500         462.000     26.30000      2.66464       .00000
       2934.500         697.000     27.80000      2.84323       .00000
       2935.500         528.000     27.70000      2.72263       .00000
       2936.500         748.000     29.00000      2.87390       .00000
       2937.500         257.000     23.60000      2.40993       .00000
       2938.500         441.000     26.20000      2.64444       .00000
       2939.500         472.000     26.60000      2.67394       .00000
       2940.500         333.000     26.50000      2.52244       .00000
       2941.500         163.000     23.70000      2.21219       .00000
       2942.500          73.900     21.50000      1.86864       .00000
       2943.500          74.100     21.00000      1.86982       .00000
       2944.500          45.800     19.10000      1.66087       .00000
       2945.500          65.300     20.30000      1.81491       .00000
       2946.500          17.600     16.50000      1.24551       .00000
       2947.500          31.600     18.80000      1.49969       .00000
       2948.500          50.000     18.00000      1.69897       .00000
       2949.500          31.600     17.10000      1.49969       .00000
       2950.500          27.300     16.70000      1.43616       .00000
       2951.500          15.400     15.50000      1.18752       .00000
       2952.500          15.400     15.00000      1.18752       .00000
       2953.500          24.200     16.00000      1.38382       .00000
       2954.500          22.400     15.90000      1.35025       .00000
       2955.500          28.700     16.70000      1.45788       .00000
       2956.500          21.500     15.40000      1.33244       .00000
       2957.500          20.600     15.20000      1.31387       .00000
       2958.500           5.530     14.30000       .74273       .00000
       2959.500           5.740     14.90000       .75891       .00000
       2960.500          35.500     17.70000      1.55023       .00000
       2961.500          14.300     17.10000      1.15534       .00000
       2962.500          14.300     14.40000      1.15534       .00000
       2963.500          24.200     15.10000      1.38382       .00000
       2964.500          11.900     15.70000      1.07555       .00000
       2965.500           7.930     15.70000       .89927       .00000
       2966.500           9.460     15.20000       .97589       .00000
       2967.500           9.400     14.50000       .97313       .00000
       2968.500          18.500     15.90000      1.26717       .00000
       2969.500           1.400     13.20000       .14613       .00000
       2970.500           4.200     13.30000       .62325       .00000
       2971.500            .490     12.30000      -.30980       .00000
       2972.500          25.000     17.50000      1.39794       .00000
       2973.500           1.810     10.90000       .25768       .00000
       2974.500            .210     12.20000      -.67778       .00000
       2975.500            .110      9.20000      -.95861       .00000
       2976.500            .060      7.50000     -1.22185       .00000
