   Depth      Permea    Poro
   3068.50    30.000    15.000
   3069.50    13.000    13.300
   3071.50     8.000    13.400
   3113.00    97.000    16.300
   3114.00    80.000    16.900
   3115.00     0.500    10.500
   3116.00     0.200    11.700
   3117.00     0.600    12.200
   3118.00     1.700    12.700
   3119.00     0.600    10.300
   3120.00     0.200     9.700
   3121.00     0.060    10.200
   3122.00     0.060    10.300
   3123.00     0.060    10.700
   3124.00     0.060    10.000
   3125.00     1.400    10.800
   3126.00     0.100    10.100
   3127.00     0.090    10.300
   3128.00     0.090    10.600
   3129.00     0.080    11.300
   3130.00     0.070     9.600
   3131.00     0.070    12.200
   3132.00     0.090    11.300
   3133.00     0.080    11.500
   3044.50     0.250    11.500
   3045.50     0.350    12.200
   3051.50     0.720    10.700
   3053.50     1.100    13.500
   3054.50     0.250    12.200
   3055.50     0.200    13.500
   2940.50     9.100    19.100
   2941.50    23.000    19.600
   2942.50    12.000    18.500
   2943.50    33.000    20.700
   2944.50     8.300    17.500
   2945.50     2.300    12.200
   2946.50     0.960    11.400
   2947.50     1.200    14.800
   2951.50    11.000    16.300
   2952.50     1.500    13.900
   2953.50     3.200    15.200
   2954.50    32.000    18.100
   2955.50     7.000    15.200
   2956.50     4.800    13.700
   2957.50    65.000    19.100
   2958.50    60.000    15.500
   2960.50     4.000    19.200
   2962.50    16.000    17.400
   2963.50     4.400    20.400
   2964.50     2.600     9.600
   2965.50    31.000    16.400
   2966.50    56.000    17.400
   2967.50     3.900    12.500
   2968.50     7.100    16.300
   2969.50     6.700    13.800
   2970.50     7.700    16.300
   2971.50     0.720    10.800
   2988.50    24.000    15.800
   2989.50    24.000    14.500
   2990.50    38.000    16.600
   2991.50     7.800    15.500
   2993.50     0.230    12.000
   2974.50     9.900    14.600
   2975.50     6.400    15.700
   2976.50     7.500    15.400
   2977.50     5.900    16.700
   2994.50     0.320    12.700
   2974.50     9.900    14.600
   2975.50     6.400    15.700
   2976.50     7.500    15.400
   2977.50     5.900    16.700
   3162.50   131.000    20.100
   3163.50    35.000    16.900
