   Depth     Permea     Poro
   3071.00   710.000    23.900
   3072.00   467.000    24.700
   3073.00   325.000    24.000
   3074.00   856.000    26.000
   3075.00   895.000    26.700
   3076.00  1390.000    27.600
   3077.00  1420.000    28.000
   3078.00   785.000    26.600
   3079.00   577.000    25.800
   3080.00   730.000    26.800
   2993.50    15.000    18.500
   2995.50     8.400    17.700
   2997.50    11.000    18.400
   2998.50     7.100    17.900
   2999.50     5.600    17.100
   2985.50     1.100    13.800
   2987.50     1.300    12.000
   2988.50     7.200    16.400
   2989.50     3.900    15.300
   2990.50     2.800    14.000
   2991.50     0.460    11.200
   2992.50     1.200    14.900
   2993.50    29.000    19.400
   2951.50     7.800    16.300
   2953.50     0.240     7.900
   2954.50    11.000    16.800
   2955.50    13.000    16.600
   2956.50    29.000    18.100
   2971.50    78.000    17.400
   2972.50   121.000    19.400
   2973.50   101.000    18.100
   2974.50    11.000    14.500
   2975.50    68.000    17.700
   2976.50    61.000    16.700
   2942.50    57.000    20.300
   2943.50    41.000    17.600
   2944.50    42.000    18.300
   2945.50    71.000    18.200
   2946.50    49.000    20.200
   2947.50    33.000    16.900
   2948.50    26.000    16.700
   2949.50    93.000    20.300
   2950.50    41.000    17.600
   2951.50    15.000    16.000
   2952.50    91.000    18.700
   3138.50    66.000    22.400
   3139.50   109.000    26.400
   3140.50   265.000    27.400
   3141.50   358.000    27.800
   3142.50  1080.000    28.900
   3143.50  1180.000    28.500
   3144.50  2150.000    29.500
   3020.50   959.000    27.100
   3022.50   784.000    29.100
   2979.50   511.000    22.900
   2980.50   744.000    25.300
   2999.50   928.000    28.000
   3000.50   866.000    28.000
   3001.50  3030.000    30.100
   2997.50  1420.000    27.800
   2998.50  2490.000    30.800
   3006.50   276.000    25.100
   3007.50  1402.000    27.000
   3008.50   834.000    27.800
   3009.50   747.000    28.600
   3010.50   375.000    28.400
   3000.50   944.000    26.000
   3001.50   780.000    24.900
   3002.50   360.000    23.200
   2939.50     3.260    15.200
   2940.50     6.180    15.800
   2941.50     1.240    10.200
   2942.50     4.160    15.000
   2943.50     2.830    14.900
   2944.50    10.200    15.400
   2945.50    18.800    15.500
   2946.50    50.200    17.200
   2952.50   347.000    23.400
   2953.50   262.000    28.100
   2954.50   412.000    26.000
   2955.50   972.000    27.900
   2956.50   781.000    28.300
   2957.50  1083.000    29.600
   2969.50   904.000    23.300
   2970.50   695.000    24.200
   2971.50  1505.000    28.500
   2972.50   904.000    27.800
   2973.50  2330.000    29.900
   2974.50  1170.000    28.400
   2975.50  1615.000    28.200
   2976.50  1585.000    28.800
   2926.50   146.000    23.500
   2927.50    72.000    20.100
   2928.50    15.000    15.200
   2929.50   117.000    20.600
   2940.50   628.000    27.500
   2941.50  1133.000    27.600
   2942.50  1267.000    28.700
   2943.50  1246.000    28.500
   2944.50   712.000    27.700
   2945.50   575.000    25.800
   2946.50   912.000    27.900
   2947.50   984.000    27.400
   2948.50   686.000    28.400
   2949.50   562.000    25.700
   2911.50    55.500    19.200
   2912.50    92.700    19.200
   2913.50   457.000    26.300
   2914.50   342.000    23.100
   2915.50    77.700    22.700
   2916.50   312.000    26.200
   2917.50   854.000    27.100
   2918.50   644.000    26.000
   2919.50   539.000    27.000
   2920.50  1248.000    26.700
   2921.50   615.000    24.100
   2906.50     6.600    16.900
   2907.50    16.000    18.700
   2908.50     1.700    14.100
   2909.50     0.970    14.200
   2909.50     2.100    14.700
   2907.50   725.000    26.900
   2908.50   880.000    27.700
   2909.50   747.000    27.400
   2920.50   143.000    19.600
   2921.50    36.000    19.800
   2922.50   162.000    22.800
   2923.50     9.500    14.100
   2924.50  2960.000    29.600
   2925.50  2090.000    29.300
   2926.50  8370.000    28.500
   2927.50  1790.000    30.000
   2928.50  1199.000    27.800
   2922.50   349.000    25.200
   2923.50   787.000    27.600
   2924.50  1380.000    28.600
   2925.50   800.000    28.500
   2926.50  2040.000    31.500
   2927.50   860.000    29.400
   2928.50  1273.000    29.600
   2929.50   865.000    28.100
   2930.50  1712.000    29.800
   2931.50   945.000    28.900
   2932.50   249.000    26.700
   2933.50   375.000    28.300
   2934.50   808.000    30.000
   2935.50   901.000    29.600
   2936.50  1007.000    31.200
   2937.50   245.000    26.900
   2938.50   732.000    30.800
   2939.50   338.000    27.900
   2940.50   332.000    27.700
   2941.50   447.000    27.900
   2942.50    48.000    23.900
   2943.50   142.000    22.800
   2961.50  2566.000    28.400
   2909.50   180.000    25.000
   2910.50   390.000    25.000
   2911.50   140.000    24.000
   2912.50   920.000    28.000
   2913.50    70.000    18.000
   2914.50   470.000    28.000
   2915.50  2700.000    28.000
   2916.50  1100.000    30.000
   2917.50   630.000    29.000
   2962.50  1350.000    27.900
   2958.50     0.490    12.600
   2959.50     1.000    12.200
   2960.50    10.100    15.700
   2961.50   182.000    20.100
   2962.50    32.800    17.700
   2963.50    25.900    16.500
   2964.50   200.000    20.800
   2961.50   925.000    25.400
   2962.50   824.000    26.400
   2963.50  2030.000    29.100
   2964.50  1175.000    27.500
   2965.50   695.000    25.600
   2966.50   816.000    25.700
   2957.50   372.000    25.200
   2931.50   366.000    26.500
   2932.50   341.000    25.800
   2933.50   290.000    24.500
   2934.50   513.000    24.900
   2935.50   306.000    26.600
   2936.50   445.000    27.100
   2937.50   658.000    28.500
   2938.50    70.500    22.000
   2939.50   513.000    26.800
   2940.50   425.000    25.900
   2941.50   464.000    27.500
   2942.50   329.000    26.600
   2943.50   593.000    29.200
   2944.50   523.000    27.400
   2928.50   401.000    25.700
   2965.50   100.000    19.400
   2966.50    23.000    18.500
   2967.50   250.000    23.000
   2968.50    84.000    10.000
   2952.50   221.000    26.500
   2953.50   225.000    25.900
   2954.50   173.000    25.700
   2955.50   172.000    25.300
   2956.50   223.000    25.200
   2957.50   215.000    25.100
   2958.50   251.000    25.000
   2959.50   259.000    25.500
   2960.50   341.000    25.300
   2961.50   273.000    25.300
   2962.50   273.000    24.500
   2963.50   239.000    23.000
