    xcoord       ycoord     zcoord    thick
   21450.000    5180.000    0.0      56.000
   -2280.000   10200.000    0.0      63.000
   -1700.000    8580.000    0.0      71.000
    -800.000    8320.000    0.0      81.000
   -4300.000     330.000    0.0      57.000
   -3630.000   -4950.000    0.0      59.000
    8615.000    4505.000    0.0      78.000
    2310.000    -330.000    0.0      56.000
   -3630.000    6260.000    0.0      76.000
   -3630.000    6930.000    0.0      65.000
    1925.000   10140.000    0.0      65.000
    1005.000    6170.000    0.0      50.000
    8320.000    6170.000    0.0      49.000
    9770.000    6170.000    0.0      69.000
   12836.000    7150.000    0.0      69.000
   11200.000    6170.000    0.0      66.000
   12825.000    5580.000    0.0      65.000
    4565.000    3530.000    0.0      79.000
    9845.000    3530.000    0.0      79.000
    9770.000    3530.000    0.0      82.000
    8485.000    4605.000    0.0      75.000
   10985.000    3477.000    0.0      78.000
   12535.000    3530.000    0.0      61.000
   12432.000    4944.000    0.0      80.000
   11128.000    3477.000    0.0      73.000
   12535.000    3455.000    0.0      73.000
   15275.000    3530.000    0.0      59.000
   16960.000    3585.000    0.0      50.000
    5845.000    2220.000    0.0      70.000
    9685.000    1838.000    0.0      55.000
   10485.000     890.000    0.0      66.000
    9920.000    2220.000    0.0      61.000
    8560.000    2220.000    0.0      71.000
    9633.000     247.000    0.0      58.000
    8220.000    1745.000    0.0      72.000
   11880.000     890.000    0.0      55.000
   11125.000    2220.000    0.0      73.000
   12410.000    2220.000    0.0      65.000
   11126.000    1750.000    0.0      66.000
   12510.000     890.000    0.0      63.000
   11050.000    2220.000    0.0      69.000
   11465.000     300.000    0.0      57.000
   12295.000     300.000    0.0      65.000
   14337.000    2318.000    0.0      89.000
   15170.000     890.000    0.0      68.000
   15050.000    2195.000    0.0      72.000
   13736.000     856.000    0.0      78.000
   14255.000    1660.000    0.0      67.000
   14935.000     375.000    0.0      63.000
   15535.000     225.000    0.0      60.000
   16405.000    2220.000    0.0      59.000
   18640.000    2200.000    0.0      57.000
   21370.000    2250.000    0.0      57.000
    2940.000    -990.000    0.0      58.000
   11160.000    -360.000    0.0      55.000
   15700.000    -400.000    0.0      46.000
    2970.000   -4290.000    0.0      65.000
    8970.000   -3690.000    0.0      75.000
   -4620.000   -1980.000    0.0      67.000
   11225.000    8547.000    0.0      78.000
    8847.000    8273.000    0.0      65.000
   10207.000    8273.000    0.0      69.000
   12760.000   11610.000    0.0      58.000
     330.000    3630.000    0.0      80.000
    8485.000    2220.000    0.0      69.000
   17915.000    3530.000    0.0      58.000
   19680.000    3390.000    0.0      51.000
    5240.000    -350.000    0.0      58.000
    4290.000   -1650.000    0.0      61.000
    -300.000   -2990.000    0.0      58.000
   12540.000    -360.000    0.0      60.000
   17820.000   -1700.000    0.0      50.000
    2310.000   -4950.000    0.0      62.000
    3890.000   -4950.000    0.0      66.000
    3300.000   -4950.000    0.0      66.000
    4290.000   -3630.000    0.0      65.000
    2005.000    7495.000    0.0      61.000
    3280.000    2000.000    0.0      59.000

