Lease,OSPREY,FALCON,HAWK,EAGLE,KITE,SWIFT,SPARROW,LARK,CARDINAL,JAY,CROW,LORIKEET,MYNAH,PARTRIDGE,CASSOWARY,ORIOLE,WARBLER,HARPY,BEE-EATER,LOON,CUCKOO,ROOSTER,ARCHAEOPTERYX,TERN,STILT,AVOCET,OSTRICH,EMU,DUCK,HERON,STORK,SWAN,PARROT,CRANE,IBIS,EGRET,PHEASANT,MACAW,FLAMINGO,PEACOCK,PENGUIN,ALBATROSS,PELICAN,OWL,FINCH,ROBIN,BLUEBIRD,CANARY,SEAGULL,HUMMINGBIRD,PHOENIX,TOUCAN,GOOSE
Well Number,1,2,3,4,5,6,7,8,9,10,11,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
State,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,LA,LA,LA,LA,LA,LA,LA,LA,LA,LA,LA,LA,LA,LA,LA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA
Formation/Reservoir,EAGLE FORD,EAGLE FORD,EAGLE FORD,EAGLE FORD,EAGLE FORD,EAGLE FORD,EAGLE FORD,EAGLE FORD,EAGLE FORD,EAGLE FORD,EAGLE FORD,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,BOSSIER SHALE ,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,MARCELLUS,MARCELLUS,MARCELLUS,MARCELLUS,MARCELLUS,MARCELLUS,MARCELLUS,MARCELLUS,MARCELLUS,MARCELLUS,MARCELLUS,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER
 Initial Pressure Estimate (psi) ,5400,5700,5650,5000,5000,5164,5164,5700,5900,5700,5500,9939,9800,9900,12223,11325,11000,11325,10000,10000,10500,10500,10300,10450,10800,11000,3486,5531,3900,3500,3000,4500,4750,5538,5508,5227,4450,4609,4500,3150,3400,5000,2500,2200,4300,4100,4200,4300,4400,4000,4450,3900,5200
 Reservoir Temperature (deg F) ,225,225,225,235,238,225,225,228,228,228,221,285,351,351,331,343,335,343,379,379,305,350,343,329,346,348,115,143,137,133,133,134,135,146,146,134,130,135,135,125,125,126,136,136,133,133,125,133,136,136,137,137,134
 Net Pay (ft) ,78,66,67,74,56,63,62,68,67,67,63,268,208,209,161,166,166,166,165,165,150,180,183,193,150,150,102,132,134,150,150,150,148,134,134,143,142,164,164,231,232,170,245,246,177,177,241,241,230,230,232,232,223
 Wellbore Diameter (ft) ,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
Porosity,6.30%,6.30%,6.30%,6.30%,5.00%,5.20%,5.20%,5.20%,5.20%,5.20%,5.20%,8.80%,8.84%,8.84%,9.10%,8.56%,8.55%,8.56%,9.10%,9.10%,10.00%,8.00%,8.61%,8.61%,8.39%,8.39%,7.00%,6.35%,6.94%,7.44%,7.49%,7.11%,7.08%,6.36%,6.37%,8.11%,7.86%,6.52%,6.52%,6.75%,6.72%,6.39%,5.31%,5.29%,7.23%,7.23%,6.03%,6.03%,5.99%,5.99%,5.87%,5.87%,6.17%
 Water Saturation ,26.00%,27.00%,27.10%,27.00%,32.10%,33.10%,33.20%,36.30%,36.00%,36.10%,32.10%,18.38%,20.25%,20.25%,19.07%,20.09%,20.09%,20.09%,20.00%,20.00%,20.00%,20.00%,21.00%,21.00%,22.90%,22.90%,32.97%,19.60%,31.59%,22.94%,21.03%,31.08%,30.93%,34.84%,34.89%,43.59%,39.28%,27.00%,27.00%,27.00%,26.00%,38.00%,40.00%,39.00%,41.29%,41.28%,35.00%,35.00%,43.00%,43.00%,47.00%,47.00%,40.22%
 Oil Saturation ,74.00%,73.00%,72.90%,73.00%,67.90%,66.90%,66.80%,63.70%,64.00%,60.20%,67.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.13%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
 Gas Saturation ,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.70%,0.00%,81.62%,79.75%,79.75%,80.93%,79.91%,79.91%,79.91%,80.00%,80.00%,80.00%,80.00%,79.00%,79.00%,77.10%,77.10%,66.90%,80.40%,68.41%,77.06%,78.97%,68.92%,69.07%,65.16%,65.11%,56.41%,60.72%,73.00%,73.00%,73.00%,74.00%,62.00%,60.00%,61.00%,58.71%,58.72%,65.00%,65.00%,57.00%,57.00%,53.00%,53.00%,59.78%
 Gas Specific Gravity ,0.9513,0.9936,0.9936,0.92,0.72,0.65,0.65,0.9,0.9,0.65,0.9,0.58,0.582,0.583,0.58,0.593,0.593,0.593,0.589,0.589,0.605,0.612,0.595,0.594,0.597,0.598,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57
CO2,2.17%,2.17%,2.17%,2.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,2.46%,2.45%,3.66%,3.81%,3.80%,3.81%,3.38%,3.38%,5.00%,5.80%,3.98%,3.94%,4.21%,4.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%
