DATEPRD,WELL_BORE_CODE,NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,NPD_FIELD_CODE,NPD_FIELD_NAME,NPD_FACILITY_CODE,NPD_FACILITY_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND,WELL_TYPE
07-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0,0,0,0,0,0,%,0,0,0,0.00,0.00,0.00,,production,WI
08-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0,,,,0,1.00306,%,0,0,0,0.00,0.00,0.00,,production,OP
09-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0,,,,0,0.97901,%,0,0,0,0.00,0.00,0.00,,production,OP
10-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0,,,,0,0.54576,%,0,0,0,0.00,0.00,0.00,,production,OP
11-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0,310.376,96.876,277.278,0,1.21599,%,33.098,10.48,33.072,0.00,0.00,0.00,,production,OP
12-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0,303.501,96.923,281.447,0,3.08702,%,22.053,8.704,22.053,0.00,0.00,0.00,,production,OP
13-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0,303.535,96.959,276.032,0,1.96237,%,27.503,9.423,16.163,0.00,0.00,0.00,,production,OP
14-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0,303.782,96.969,282.787,0,0,%,20.996,8.131,20.737,0.00,0.00,0.00,,production,OP
15-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0,303.858,97.021,289.941,0,31.14186,%,13.918,8.498,12.182,0.00,0.00,0.00,,production,OP
16-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0,303.792,97.066,299.672,0,0,%,4.12,8.821,1.49,0.00,0.00,0.00,,production,OP
17-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0,304.335,96.919,282.901,0,41.23599,%,21.434,8.854,18.795,0.00,0.00,0.00,,production,OP
18-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0,304.849,96.72,273.701,0,0,%,31.148,9.64,28.503,0.00,0.00,0.00,,production,OP
19-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0,305.371,96.616,259.62,0,0.43686,%,45.752,9.639,43.157,0.00,0.00,0.00,,production,OP
20-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0,313.871,96.56,282.814,0,0.45428,%,31.056,9.62,28.484,0.00,0.00,0.00,,production,OP
21-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,11.5,301.376,102.676,204.795,0,20.98975,%,96.58,19.197,69.776,0.00,0.00,0.00,,production,OP
22-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,289.421,106.353,182.059,0,43.34345,%,107.362,37.939,78.935,631.00,90439.00,0.00,,production,OP
23-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,270.24,107.644,171.053,,47.16752,%,99.187,60.757,70.627,1166.00,165720.00,0.00,,production,OP
24-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,262.843,107.869,168.242,,47.73231,%,94.601,63.047,66.049,1550.00,221707.00,0.00,,production,OP
25-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,255.527,107.971,165.539,,48.53377,%,89.988,64.547,61.405,1249.00,178064.00,0.00,,production,OP
26-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,247.199,108.052,162.422,,49.8445,%,84.777,65.724,56.148,1346.00,192602.00,0.00,,production,OP
27-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,240.736,108.054,159.899,,50.29698,%,80.837,66.934,52.202,1350.00,194496.00,0.00,,production,OP
28-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,235.021,108.042,157.683,,50.73588,%,77.338,67.848,48.708,1346.00,192900.00,0.00,,production,OP
29-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,232.744,107.988,156.795,,50.11392,%,75.949,65.707,47.376,1279.00,184900.00,0.00,,production,OP
30-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,233.298,107.893,157.179,,48.92679,%,76.118,62.796,47.611,1226.00,177108.00,0.00,,production,OP
01-May-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,231.089,107.877,156.399,,48.93863,%,74.69,62.377,46.196,1213.00,174609.00,0.00,,production,OP
02-May-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,231.419,107.817,156.69,,48.3037,%,74.729,60.747,46.15,1074.00,154871.00,0.00,,production,OP
03-May-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,230.766,107.795,156.606,,48.1735,%,74.16,60.628,45.733,1044.00,147930.00,0.00,,production,OP
04-May-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,230.596,107.764,156.688,,47.46609,%,73.908,58.279,45.491,970.00,139378.00,0.00,,production,OP
05-May-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,229.424,107.78,156.429,,47.84002,%,72.994,54.905,44.549,946.00,136980.00,0.00,,production,OP
