depth,poro,perm,well
1499.879,-999.25,-999.25,A10
1500.129,-999.25,-999.25,A10
1500.629,-999.25,-999.25,A10
1501.129,0.270646,-999.25,A10
1501.629,0.267428,124.5799,A10
1502.129,0.256076,125.33458,A10
1502.629,0.242126,117.1211,A10
1503.129,0.238589,109.64679,A10
1503.629,0.238377,106.01107,A10
1504.129,0.240893,112.71479,A10
1504.629,0.244279,131.8336,A10
1505.129,0.256038,149.8931,A10
1505.629,0.270472,162.59103,A10
1506.129,0.266565,171.13451,A10
1506.629,0.256802,175.90889,A10
1507.129,0.256206,174.85007,A10
1507.629,0.258538,167.29897,A10
1508.129,0.253027,150.33397,A10
1508.629,0.245013,123.02221,A10
1509.129,0.249393,93.219582,A10
1509.629,0.257731,63.434399,A10
1510.129,0.261494,43.803547,A10
1510.629,0.263797,37.563633,A10
1511.129,0.244432,35.939308,A10
1511.629,0.218148,36.1287,A10
1512.129,0.217284,56.994118,A10
1512.629,0.224536,104.55809,A10
1513.129,0.246015,256.3157,A10
1513.629,0.272036,537.01025,A10
1514.129,0.283209,708.55737,A10
1514.629,0.289643,694.93933,A10
1515.129,0.284402,569.64612,A10
1515.629,0.275434,356.1423,A10
1516.129,0.264269,202.5845,A10
1516.629,0.252403,156.27753,A10
1517.129,0.237911,138.66531,A10
1517.629,0.222581,124.66578,A10
1518.129,0.231234,113.05806,A10
1518.629,0.247545,103.45232,A10
1519.129,0.241234,89.823074,A10
1519.629,0.2277,70.246445,A10
1520.129,0.24069,58.010475,A10
1520.629,0.262148,57.357899,A10
1521.129,0.259357,66.603233,A10
1521.629,0.248823,85.208321,A10
1522.129,0.245943,98.744049,A10
1522.629,0.245507,102.60336,A10
1523.129,0.252127,100.8205,A10
1523.629,0.261,94.683578,A10
1524.129,0.247642,84.182114,A10
1524.629,0.227184,69.312775,A10
1525.129,0.230177,55.255329,A10
1525.629,0.240658,43.663624,A10
1526.129,0.232117,39.545444,A10
1526.629,0.217503,44.499741,A10
1527.129,0.225104,59.958836,A10
1527.629,0.239799,86.380066,A10
1528.129,0.248648,113.34898,A10
1528.629,0.255631,137.54034,A10
1529.129,0.261581,150.38928,A10
1529.629,0.267202,149.16112,A10
1530.129,0.267111,128.98405,A10
1530.629,0.265196,88.302605,A10
1531.129,0.261191,65.979446,A10
1531.629,0.256519,74.423004,A10
1532.129,0.249492,86.680939,A10
1532.629,0.241714,94.147644,A10
1533.129,0.246168,88.040962,A10
1533.629,0.254527,65.556831,A10
1534.129,0.266182,76.189613,A10
1534.629,0.278889,135.74231,A10
1535.129,0.271267,200.34341,A10
1535.629,0.257154,255.98523,A10
1536.129,0.260213,277.14832,A10
1536.629,0.268755,255.68459,A10
1537.129,0.270532,221.43285,A10
1537.629,0.27015,183.92029,A10
1538.129,0.268907,148.22797,A10
1538.629,0.267388,115.97824,A10
1539.129,0.266528,93.975494,A10
1539.629,0.265879,84.392303,A10
1540.129,0.263502,75.938629,A10
1540.629,0.260574,65.009682,A10
1541.129,0.243469,54.404198,A10
1541.629,0.221838,45.015778,A10
1542.129,0.232547,41.897038,A10
1542.629,0.253582,46.661217,A10
1543.129,0.24473,52.636234,A10
1543.629,0.226334,57.691765,A10
1544.129,0.232812,61.576237,A10
1544.629,0.247232,64.209328,A10
1545.129,0.247288,63.29805,A10
1545.629,0.242757,58.110283,A10
1546.129,0.243773,57.050297,A10
1546.629,0.24656,62.801483,A10
