x,y,tvd,md,well
456981.1858,6782712.044,1502.245936,1503.079192,A10
456981.2871,6782712.026,1502.358757,1503.231792,A10
456981.3881,6782712.009,1502.471352,1503.384092,A10
456981.4892,6782711.991,1502.583943,1503.536392,A10
456981.5903,6782711.974,1502.696604,1503.688792,A10
456981.6916,6782711.956,1502.809409,1503.841392,A10
456981.7926,6782711.939,1502.921987,1503.993691,A10
456981.8938,6782711.921,1503.034636,1504.146092,A10
456981.9949,6782711.904,1503.147206,1504.298392,A10
456982.0959,6782711.886,1503.259773,1504.450692,A10
456982.1972,6782711.869,1503.372557,1504.603292,A10
456982.2984,6782711.851,1503.485189,1504.755691,A10
456982.3995,6782711.834,1503.597744,1504.907992,A10
456982.5007,6782711.816,1503.710368,1505.060392,A10
456982.602,6782711.799,1503.823136,1505.212992,A10
456982.7031,6782711.781,1503.935678,1505.365292,A10
456982.8042,6782711.764,1504.048214,1505.517591,A10
456982.9054,6782711.746,1504.160822,1505.669992,A10
456983.0067,6782711.729,1504.273572,1505.822592,A10
456983.1079,6782711.712,1504.386096,1505.974891,A10
456983.2091,6782711.694,1504.49869,1506.127291,A10
456983.3102,6782711.677,1504.611207,1506.279592,A10
456983.4114,6782711.659,1504.723793,1506.431992,A10
456983.5127,6782711.642,1504.836449,1506.584492,A10
456983.614,6782711.624,1504.949027,1506.736892,A10
456983.7151,6782711.607,1505.061527,1506.889192,A10
456983.8164,6782711.589,1505.174097,1507.041592,A10
456983.9177,6782711.572,1505.28681,1507.194192,A10
456984.0189,6782711.554,1505.399298,1507.346492,A10
456984.1201,6782711.537,1505.511782,1507.498792,A10
456984.2213,6782711.519,1505.624335,1507.651192,A10
456984.3227,6782711.502,1505.737032,1507.803792,A10
456984.4239,6782711.484,1505.849503,1507.956091,A10
456984.5252,6782711.467,1505.962045,1508.108492,A10
456984.6264,6782711.45,1506.074508,1508.260792,A10
456984.7277,6782711.432,1506.18704,1508.413191,A10
456984.829,6782711.415,1506.299643,1508.565691,A10
456984.9303,6782711.397,1506.412167,1508.718092,A10
456985.0316,6782711.38,1506.524613,1508.870392,A10
456985.1329,6782711.362,1506.637128,1509.022791,A10
456985.2343,6782711.345,1506.749787,1509.175392,A10
456985.3355,6782711.327,1506.862221,1509.327692,A10
456985.4368,6782711.31,1506.97465,1509.479992,A10
456985.5381,6782711.293,1507.087149,1509.632391,A10
456985.6396,6782711.275,1507.199792,1509.784992,A10
456985.7408,6782711.258,1507.312209,1509.937292,A10
456985.8422,6782711.24,1507.424696,1510.089692,A10
456985.9434,6782711.223,1507.537105,1510.241992,A10
456986.0448,6782711.205,1507.649584,1510.394392,A10
456986.1462,6782711.188,1507.762132,1510.546892,A10
456986.2475,6782711.17,1507.874603,1510.699292,A10
456986.3488,6782711.153,1507.986995,1510.851591,A10
456986.4502,6782711.136,1508.099458,1511.003992,A10
456986.5517,6782711.118,1508.212064,1511.156592,A10
456986.653,6782711.101,1508.324444,1511.308891,A10
456986.7543,6782711.083,1508.436821,1511.461192,A10
456986.8557,6782711.066,1508.549267,1511.613592,A10
456986.9572,6782711.049,1508.661856,1511.766192,A10
456987.0585,6782711.031,1508.774219,1511.918492,A10
456987.1599,6782711.014,1508.886651,1512.070892,A10
456987.2613,6782710.996,1508.999006,1512.223192,A10
456987.3627,6782710.979,1509.11143,1512.375592,A10
456987.4642,6782710.961,1509.223924,1512.528092,A10
456987.5656,6782710.944,1509.33634,1512.680491,A10
456987.6669,6782710.927,1509.448679,1512.832792,A10
456987.7684,6782710.909,1509.561087,1512.985192,A10
456987.8699,6782710.892,1509.673638,1513.137792,A10
456987.9713,6782710.874,1509.785964,1513.290091,A10
456988.0727,6782710.857,1509.898286,1513.442392,A10
456988.1741,6782710.84,1510.010678,1513.594792,A10
456988.2757,6782710.822,1510.123213,1513.747392,A10
456988.3771,6782710.805,1510.235523,1513.899692,A10
456988.4786,6782710.788,1510.347902,1514.052092,A10
456988.58,6782710.77,1510.460204,1514.204392,A10
456988.6814,6782710.753,1510.572575,1514.356792,A10
456988.783,6782710.735,1510.685016,1514.509291,A10
456988.8844,6782710.718,1510.797379,1514.661692,A10
456988.9859,6782710.701,1510.909664,1514.813992,A10
