X	Y	Time
2480	0	1.09251E+03
2520	0	1.09197E+03
2560	0	1.09214E+03
2600	0	1.09271E+03
2640	0	1.09242E+03
2680	0	1.09239E+03
2720	0	1.09235E+03
2760	0	1.09288E+03
2800	0	1.09296E+03
2840	0	1.09310E+03
2880	0	1.09406E+03
2920	0	1.09369E+03
2960	0	1.09392E+03
3000	0	1.09386E+03
3040	0	1.09357E+03
3080	0	1.09454E+03
3120	0	1.09521E+03
3160	0	1.09512E+03
3200	0	1.09447E+03
3240	0	1.09402E+03
3280	0	1.09369E+03
3320	0	1.09372E+03
3360	0	1.09236E+03
3400	0	1.09091E+03
3440	0	1.08943E+03
1240	40	1.09782E+03
1280	40	1.09985E+03
1320	40	1.10096E+03
1360	40	1.10228E+03
1400	40	1.10181E+03
1440	40	1.10285E+03
1480	40	1.10303E+03
1520	40	1.10303E+03
1560	40	1.10380E+03
1600	40	1.10495E+03
1640	40	1.10473E+03
1680	40	1.10299E+03
1720	40	1.10405E+03
1760	40	1.10262E+03
1800	40	1.10168E+03
1840	40	1.10266E+03
1880	40	1.10129E+03
1920	40	1.09908E+03
1960	40	1.09819E+03
2000	40	1.09565E+03
2040	40	1.09448E+03
2080	40	1.09367E+03
2120	40	1.09245E+03
2160	40	1.09197E+03
2200	40	1.09145E+03
2240	40	1.09094E+03
2280	40	1.09069E+03
2320	40	1.09042E+03
2360	40	1.09106E+03
2400	40	1.09146E+03
2440	40	1.09156E+03
2480	40	1.09289E+03
2520	40	1.09269E+03
2560	40	1.09228E+03
2600	40	1.09304E+03
2640	40	1.09332E+03
2680	40	1.09323E+03
2720	40	1.09349E+03
2760	40	1.09427E+03
2800	40	1.09425E+03
2840	40	1.09430E+03
2880	40	1.09516E+03
2920	40	1.09476E+03
2960	40	1.09494E+03
3000	40	1.09440E+03
3040	40	1.09370E+03
3080	40	1.09520E+03
3120	40	1.09522E+03
3160	40	1.09548E+03
3200	40	1.09532E+03
3240	40	1.09466E+03
3280	40	1.09368E+03
3320	40	1.09317E+03
3360	40	1.09236E+03
3400	40	1.09159E+03
3440	40	1.08999E+03
0	80	1.10002E+03
40	80	1.10013E+03
80	80	1.10027E+03
120	80	1.09907E+03
160	80	1.09865E+03
200	80	1.09970E+03
240	80	1.10068E+03
280	80	1.09997E+03
320	80	1.10077E+03
360	80	1.10092E+03
400	80	1.10055E+03
440	80	1.10102E+03
480	80	1.10043E+03
520	80	1.10037E+03
560	80	1.10139E+03
600	80	1.10040E+03
640	80	1.09929E+03
680	80	1.09850E+03
720	80	1.09729E+03
760	80	1.09584E+03
800	80	1.09537E+03
840	80	1.09468E+03
880	80	1.09398E+03
920	80	1.09337E+03
960	80	1.09283E+03
1000	80	1.09312E+03
1040	80	1.09438E+03
1080	80	1.09388E+03
1120	80	1.09340E+03
1160	80	1.09458E+03
1200	80	1.09603E+03
1240	80	1.09821E+03
1280	80	1.10015E+03
1320	80	1.10186E+03
1360	80	1.10274E+03
1400	80	1.10243E+03
